id,English,Hindi,Kannada,Tamil,Bengali,Assamese
18,Respect wildlife and keep 13 meters away in desert trails,[Hindi translation needed: Respect wildlife and keep 13 meters away in desert trails],[Kannada translation needed: Respect wildlife and keep 13 meters away in desert trails],[Tamil translation needed: Respect wildlife and keep 13 meters away in desert trails],[Bengali translation needed: Respect wildlife and keep 13 meters away in desert trails],[Assamese translation needed: Respect wildlife and keep 13 meters away in desert trails]
19,Dispose of trash properly to protect crowded trains,[Hindi translation needed: Dispose of trash properly to protect crowded trains],[Kannada translation needed: Dispose of trash properly to protect crowded trains],[Tamil translation needed: Dispose of trash properly to protect crowded trains],[Bengali translation needed: Dispose of trash properly to protect crowded trains],[Assamese translation needed: Dispose of trash properly to protect crowded trains]
20,Carry at least 2 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 2 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 2 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 2 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 2 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 2 liters of water when hiking in river ferries]
21,Inform a friend before exploring mountain paths alone,[Hindi translation needed: Inform a friend before exploring mountain paths alone],[Kannada translation needed: Inform a friend before exploring mountain paths alone],[Tamil translation needed: Inform a friend before exploring mountain paths alone],[Bengali translation needed: Inform a friend before exploring mountain paths alone],[Assamese translation needed: Inform a friend before exploring mountain paths alone]
22,Avoid flashing valuables in national parks to prevent theft,[Hindi translation needed: Avoid flashing valuables in national parks to prevent theft],[Kannada translation needed: Avoid flashing valuables in national parks to prevent theft],[Tamil translation needed: Avoid flashing valuables in national parks to prevent theft],[Bengali translation needed: Avoid flashing valuables in national parks to prevent theft],[Assamese translation needed: Avoid flashing valuables in national parks to prevent theft]
23,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
24,Keep emergency contacts saved before entering beach resorts,[Hindi translation needed: Keep emergency contacts saved before entering beach resorts],[Kannada translation needed: Keep emergency contacts saved before entering beach resorts],[Tamil translation needed: Keep emergency contacts saved before entering beach resorts],[Bengali translation needed: Keep emergency contacts saved before entering beach resorts],[Assamese translation needed: Keep emergency contacts saved before entering beach resorts]
25,Check weather alerts before traveling to river ferries,[Hindi translation needed: Check weather alerts before traveling to river ferries],[Kannada translation needed: Check weather alerts before traveling to river ferries],[Tamil translation needed: Check weather alerts before traveling to river ferries],[Bengali translation needed: Check weather alerts before traveling to river ferries],[Assamese translation needed: Check weather alerts before traveling to river ferries]
26,Use only registered guides in desert trails,[Hindi translation needed: Use only registered guides in desert trails],[Kannada translation needed: Use only registered guides in desert trails],[Tamil translation needed: Use only registered guides in desert trails],[Bengali translation needed: Use only registered guides in desert trails],[Assamese translation needed: Use only registered guides in desert trails]
27,Stay on marked paths while visiting remote villages,[Hindi translation needed: Stay on marked paths while visiting remote villages],[Kannada translation needed: Stay on marked paths while visiting remote villages],[Tamil translation needed: Stay on marked paths while visiting remote villages],[Bengali translation needed: Stay on marked paths while visiting remote villages],[Assamese translation needed: Stay on marked paths while visiting remote villages]
28,Respect wildlife and keep 13 meters away in river ferries,[Hindi translation needed: Respect wildlife and keep 13 meters away in river ferries],[Kannada translation needed: Respect wildlife and keep 13 meters away in river ferries],[Tamil translation needed: Respect wildlife and keep 13 meters away in river ferries],[Bengali translation needed: Respect wildlife and keep 13 meters away in river ferries],[Assamese translation needed: Respect wildlife and keep 13 meters away in river ferries]
29,Dispose of trash properly to protect beach resorts,[Hindi translation needed: Dispose of trash properly to protect beach resorts],[Kannada translation needed: Dispose of trash properly to protect beach resorts],[Tamil translation needed: Dispose of trash properly to protect beach resorts],[Bengali translation needed: Dispose of trash properly to protect beach resorts],[Assamese translation needed: Dispose of trash properly to protect beach resorts]
30,Carry at least 4 liters of water when hiking in city streets,[Hindi translation needed: Carry at least 4 liters of water when hiking in city streets],[Kannada translation needed: Carry at least 4 liters of water when hiking in city streets],[Tamil translation needed: Carry at least 4 liters of water when hiking in city streets],[Bengali translation needed: Carry at least 4 liters of water when hiking in city streets],[Assamese translation needed: Carry at least 4 liters of water when hiking in city streets]
31,Inform a friend before exploring beach resorts alone,[Hindi translation needed: Inform a friend before exploring beach resorts alone],[Kannada translation needed: Inform a friend before exploring beach resorts alone],[Tamil translation needed: Inform a friend before exploring beach resorts alone],[Bengali translation needed: Inform a friend before exploring beach resorts alone],[Assamese translation needed: Inform a friend before exploring beach resorts alone]
32,Avoid flashing valuables in remote villages to prevent theft,[Hindi translation needed: Avoid flashing valuables in remote villages to prevent theft],[Kannada translation needed: Avoid flashing valuables in remote villages to prevent theft],[Tamil translation needed: Avoid flashing valuables in remote villages to prevent theft],[Bengali translation needed: Avoid flashing valuables in remote villages to prevent theft],[Assamese translation needed: Avoid flashing valuables in remote villages to prevent theft]
33,Wear protective gear when riding bikes on river ferries,[Hindi translation needed: Wear protective gear when riding bikes on river ferries],[Kannada translation needed: Wear protective gear when riding bikes on river ferries],[Tamil translation needed: Wear protective gear when riding bikes on river ferries],[Bengali translation needed: Wear protective gear when riding bikes on river ferries],[Assamese translation needed: Wear protective gear when riding bikes on river ferries]
34,Keep emergency contacts saved before entering beach resorts,[Hindi translation needed: Keep emergency contacts saved before entering beach resorts],[Kannada translation needed: Keep emergency contacts saved before entering beach resorts],[Tamil translation needed: Keep emergency contacts saved before entering beach resorts],[Bengali translation needed: Keep emergency contacts saved before entering beach resorts],[Assamese translation needed: Keep emergency contacts saved before entering beach resorts]
35,Check weather alerts before traveling to heritage sites,[Hindi translation needed: Check weather alerts before traveling to heritage sites],[Kannada translation needed: Check weather alerts before traveling to heritage sites],[Tamil translation needed: Check weather alerts before traveling to heritage sites],[Bengali translation needed: Check weather alerts before traveling to heritage sites],[Assamese translation needed: Check weather alerts before traveling to heritage sites]
36,Use only registered guides in desert trails,[Hindi translation needed: Use only registered guides in desert trails],[Kannada translation needed: Use only registered guides in desert trails],[Tamil translation needed: Use only registered guides in desert trails],[Bengali translation needed: Use only registered guides in desert trails],[Assamese translation needed: Use only registered guides in desert trails]
37,Stay on marked paths while visiting river ferries,[Hindi translation needed: Stay on marked paths while visiting river ferries],[Kannada translation needed: Stay on marked paths while visiting river ferries],[Tamil translation needed: Stay on marked paths while visiting river ferries],[Bengali translation needed: Stay on marked paths while visiting river ferries],[Assamese translation needed: Stay on marked paths while visiting river ferries]
38,Respect wildlife and keep 13 meters away in river ferries,[Hindi translation needed: Respect wildlife and keep 13 meters away in river ferries],[Kannada translation needed: Respect wildlife and keep 13 meters away in river ferries],[Tamil translation needed: Respect wildlife and keep 13 meters away in river ferries],[Bengali translation needed: Respect wildlife and keep 13 meters away in river ferries],[Assamese translation needed: Respect wildlife and keep 13 meters away in river ferries]
39,Dispose of trash properly to protect remote villages,[Hindi translation needed: Dispose of trash properly to protect remote villages],[Kannada translation needed: Dispose of trash properly to protect remote villages],[Tamil translation needed: Dispose of trash properly to protect remote villages],[Bengali translation needed: Dispose of trash properly to protect remote villages],[Assamese translation needed: Dispose of trash properly to protect remote villages]
40,Carry at least 2 liters of water when hiking in national parks,[Hindi translation needed: Carry at least 2 liters of water when hiking in national parks],[Kannada translation needed: Carry at least 2 liters of water when hiking in national parks],[Tamil translation needed: Carry at least 2 liters of water when hiking in national parks],[Bengali translation needed: Carry at least 2 liters of water when hiking in national parks],[Assamese translation needed: Carry at least 2 liters of water when hiking in national parks]
41,Inform a friend before exploring city streets alone,[Hindi translation needed: Inform a friend before exploring city streets alone],[Kannada translation needed: Inform a friend before exploring city streets alone],[Tamil translation needed: Inform a friend before exploring city streets alone],[Bengali translation needed: Inform a friend before exploring city streets alone],[Assamese translation needed: Inform a friend before exploring city streets alone]
42,Avoid flashing valuables in city streets to prevent theft,[Hindi translation needed: Avoid flashing valuables in city streets to prevent theft],[Kannada translation needed: Avoid flashing valuables in city streets to prevent theft],[Tamil translation needed: Avoid flashing valuables in city streets to prevent theft],[Bengali translation needed: Avoid flashing valuables in city streets to prevent theft],[Assamese translation needed: Avoid flashing valuables in city streets to prevent theft]
43,Wear protective gear when riding bikes on national parks,[Hindi translation needed: Wear protective gear when riding bikes on national parks],[Kannada translation needed: Wear protective gear when riding bikes on national parks],[Tamil translation needed: Wear protective gear when riding bikes on national parks],[Bengali translation needed: Wear protective gear when riding bikes on national parks],[Assamese translation needed: Wear protective gear when riding bikes on national parks]
44,Keep emergency contacts saved before entering crowded trains,[Hindi translation needed: Keep emergency contacts saved before entering crowded trains],[Kannada translation needed: Keep emergency contacts saved before entering crowded trains],[Tamil translation needed: Keep emergency contacts saved before entering crowded trains],[Bengali translation needed: Keep emergency contacts saved before entering crowded trains],[Assamese translation needed: Keep emergency contacts saved before entering crowded trains]
45,Check weather alerts before traveling to beach resorts,[Hindi translation needed: Check weather alerts before traveling to beach resorts],[Kannada translation needed: Check weather alerts before traveling to beach resorts],[Tamil translation needed: Check weather alerts before traveling to beach resorts],[Bengali translation needed: Check weather alerts before traveling to beach resorts],[Assamese translation needed: Check weather alerts before traveling to beach resorts]
46,Use only registered guides in desert trails,[Hindi translation needed: Use only registered guides in desert trails],[Kannada translation needed: Use only registered guides in desert trails],[Tamil translation needed: Use only registered guides in desert trails],[Bengali translation needed: Use only registered guides in desert trails],[Assamese translation needed: Use only registered guides in desert trails]
47,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
48,Respect wildlife and keep 13 meters away in remote villages,[Hindi translation needed: Respect wildlife and keep 13 meters away in remote villages],[Kannada translation needed: Respect wildlife and keep 13 meters away in remote villages],[Tamil translation needed: Respect wildlife and keep 13 meters away in remote villages],[Bengali translation needed: Respect wildlife and keep 13 meters away in remote villages],[Assamese translation needed: Respect wildlife and keep 13 meters away in remote villages]
49,Dispose of trash properly to protect mountain paths,[Hindi translation needed: Dispose of trash properly to protect mountain paths],[Kannada translation needed: Dispose of trash properly to protect mountain paths],[Tamil translation needed: Dispose of trash properly to protect mountain paths],[Bengali translation needed: Dispose of trash properly to protect mountain paths],[Assamese translation needed: Dispose of trash properly to protect mountain paths]
50,Carry at least 4 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 4 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 4 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 4 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 4 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 4 liters of water when hiking in river ferries]
51,Inform a friend before exploring heritage sites alone,[Hindi translation needed: Inform a friend before exploring heritage sites alone],[Kannada translation needed: Inform a friend before exploring heritage sites alone],[Tamil translation needed: Inform a friend before exploring heritage sites alone],[Bengali translation needed: Inform a friend before exploring heritage sites alone],[Assamese translation needed: Inform a friend before exploring heritage sites alone]
52,Avoid flashing valuables in city streets to prevent theft,[Hindi translation needed: Avoid flashing valuables in city streets to prevent theft],[Kannada translation needed: Avoid flashing valuables in city streets to prevent theft],[Tamil translation needed: Avoid flashing valuables in city streets to prevent theft],[Bengali translation needed: Avoid flashing valuables in city streets to prevent theft],[Assamese translation needed: Avoid flashing valuables in city streets to prevent theft]
53,Wear protective gear when riding bikes on busy markets,[Hindi translation needed: Wear protective gear when riding bikes on busy markets],[Kannada translation needed: Wear protective gear when riding bikes on busy markets],[Tamil translation needed: Wear protective gear when riding bikes on busy markets],[Bengali translation needed: Wear protective gear when riding bikes on busy markets],[Assamese translation needed: Wear protective gear when riding bikes on busy markets]
54,Keep emergency contacts saved before entering city streets,[Hindi translation needed: Keep emergency contacts saved before entering city streets],[Kannada translation needed: Keep emergency contacts saved before entering city streets],[Tamil translation needed: Keep emergency contacts saved before entering city streets],[Bengali translation needed: Keep emergency contacts saved before entering city streets],[Assamese translation needed: Keep emergency contacts saved before entering city streets]
55,Check weather alerts before traveling to busy markets,[Hindi translation needed: Check weather alerts before traveling to busy markets],[Kannada translation needed: Check weather alerts before traveling to busy markets],[Tamil translation needed: Check weather alerts before traveling to busy markets],[Bengali translation needed: Check weather alerts before traveling to busy markets],[Assamese translation needed: Check weather alerts before traveling to busy markets]
56,Use only registered guides in remote villages,[Hindi translation needed: Use only registered guides in remote villages],[Kannada translation needed: Use only registered guides in remote villages],[Tamil translation needed: Use only registered guides in remote villages],[Bengali translation needed: Use only registered guides in remote villages],[Assamese translation needed: Use only registered guides in remote villages]
57,Stay on marked paths while visiting busy markets,[Hindi translation needed: Stay on marked paths while visiting busy markets],[Kannada translation needed: Stay on marked paths while visiting busy markets],[Tamil translation needed: Stay on marked paths while visiting busy markets],[Bengali translation needed: Stay on marked paths while visiting busy markets],[Assamese translation needed: Stay on marked paths while visiting busy markets]
58,Respect wildlife and keep 13 meters away in crowded trains,[Hindi translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Kannada translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Tamil translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Bengali translation needed: Respect wildlife and keep 13 meters away in crowded trains],[Assamese translation needed: Respect wildlife and keep 13 meters away in crowded trains]
59,Dispose of trash properly to protect remote villages,[Hindi translation needed: Dispose of trash properly to protect remote villages],[Kannada translation needed: Dispose of trash properly to protect remote villages],[Tamil translation needed: Dispose of trash properly to protect remote villages],[Bengali translation needed: Dispose of trash properly to protect remote villages],[Assamese translation needed: Dispose of trash properly to protect remote villages]
60,Carry at least 2 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 2 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 2 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 2 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 2 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 2 liters of water when hiking in river ferries]
61,Inform a friend before exploring city streets alone,[Hindi translation needed: Inform a friend before exploring city streets alone],[Kannada translation needed: Inform a friend before exploring city streets alone],[Tamil translation needed: Inform a friend before exploring city streets alone],[Bengali translation needed: Inform a friend before exploring city streets alone],[Assamese translation needed: Inform a friend before exploring city streets alone]
62,Avoid flashing valuables in crowded trains to prevent theft,[Hindi translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Kannada translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Tamil translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Bengali translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Assamese translation needed: Avoid flashing valuables in crowded trains to prevent theft]
63,Wear protective gear when riding bikes on national parks,[Hindi translation needed: Wear protective gear when riding bikes on national parks],[Kannada translation needed: Wear protective gear when riding bikes on national parks],[Tamil translation needed: Wear protective gear when riding bikes on national parks],[Bengali translation needed: Wear protective gear when riding bikes on national parks],[Assamese translation needed: Wear protective gear when riding bikes on national parks]
64,Keep emergency contacts saved before entering busy markets,[Hindi translation needed: Keep emergency contacts saved before entering busy markets],[Kannada translation needed: Keep emergency contacts saved before entering busy markets],[Tamil translation needed: Keep emergency contacts saved before entering busy markets],[Bengali translation needed: Keep emergency contacts saved before entering busy markets],[Assamese translation needed: Keep emergency contacts saved before entering busy markets]
65,Check weather alerts before traveling to beach resorts,[Hindi translation needed: Check weather alerts before traveling to beach resorts],[Kannada translation needed: Check weather alerts before traveling to beach resorts],[Tamil translation needed: Check weather alerts before traveling to beach resorts],[Bengali translation needed: Check weather alerts before traveling to beach resorts],[Assamese translation needed: Check weather alerts before traveling to beach resorts]
66,Use only registered guides in river ferries,[Hindi translation needed: Use only registered guides in river ferries],[Kannada translation needed: Use only registered guides in river ferries],[Tamil translation needed: Use only registered guides in river ferries],[Bengali translation needed: Use only registered guides in river ferries],[Assamese translation needed: Use only registered guides in river ferries]
67,Stay on marked paths while visiting heritage sites,[Hindi translation needed: Stay on marked paths while visiting heritage sites],[Kannada translation needed: Stay on marked paths while visiting heritage sites],[Tamil translation needed: Stay on marked paths while visiting heritage sites],[Bengali translation needed: Stay on marked paths while visiting heritage sites],[Assamese translation needed: Stay on marked paths while visiting heritage sites]
68,Respect wildlife and keep 13 meters away in mountain paths,[Hindi translation needed: Respect wildlife and keep 13 meters away in mountain paths],[Kannada translation needed: Respect wildlife and keep 13 meters away in mountain paths],[Tamil translation needed: Respect wildlife and keep 13 meters away in mountain paths],[Bengali translation needed: Respect wildlife and keep 13 meters away in mountain paths],[Assamese translation needed: Respect wildlife and keep 13 meters away in mountain paths]
69,Dispose of trash properly to protect national parks,[Hindi translation needed: Dispose of trash properly to protect national parks],[Kannada translation needed: Dispose of trash properly to protect national parks],[Tamil translation needed: Dispose of trash properly to protect national parks],[Bengali translation needed: Dispose of trash properly to protect national parks],[Assamese translation needed: Dispose of trash properly to protect national parks]
70,Carry at least 4 liters of water when hiking in mountain paths,[Hindi translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Kannada translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Tamil translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Bengali translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Assamese translation needed: Carry at least 4 liters of water when hiking in mountain paths]
71,Inform a friend before exploring national parks alone,[Hindi translation needed: Inform a friend before exploring national parks alone],[Kannada translation needed: Inform a friend before exploring national parks alone],[Tamil translation needed: Inform a friend before exploring national parks alone],[Bengali translation needed: Inform a friend before exploring national parks alone],[Assamese translation needed: Inform a friend before exploring national parks alone]
72,Avoid flashing valuables in city streets to prevent theft,[Hindi translation needed: Avoid flashing valuables in city streets to prevent theft],[Kannada translation needed: Avoid flashing valuables in city streets to prevent theft],[Tamil translation needed: Avoid flashing valuables in city streets to prevent theft],[Bengali translation needed: Avoid flashing valuables in city streets to prevent theft],[Assamese translation needed: Avoid flashing valuables in city streets to prevent theft]
73,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
74,Keep emergency contacts saved before entering beach resorts,[Hindi translation needed: Keep emergency contacts saved before entering beach resorts],[Kannada translation needed: Keep emergency contacts saved before entering beach resorts],[Tamil translation needed: Keep emergency contacts saved before entering beach resorts],[Bengali translation needed: Keep emergency contacts saved before entering beach resorts],[Assamese translation needed: Keep emergency contacts saved before entering beach resorts]
75,Check weather alerts before traveling to national parks,[Hindi translation needed: Check weather alerts before traveling to national parks],[Kannada translation needed: Check weather alerts before traveling to national parks],[Tamil translation needed: Check weather alerts before traveling to national parks],[Bengali translation needed: Check weather alerts before traveling to national parks],[Assamese translation needed: Check weather alerts before traveling to national parks]
76,Use only registered guides in busy markets,[Hindi translation needed: Use only registered guides in busy markets],[Kannada translation needed: Use only registered guides in busy markets],[Tamil translation needed: Use only registered guides in busy markets],[Bengali translation needed: Use only registered guides in busy markets],[Assamese translation needed: Use only registered guides in busy markets]
77,Stay on marked paths while visiting heritage sites,[Hindi translation needed: Stay on marked paths while visiting heritage sites],[Kannada translation needed: Stay on marked paths while visiting heritage sites],[Tamil translation needed: Stay on marked paths while visiting heritage sites],[Bengali translation needed: Stay on marked paths while visiting heritage sites],[Assamese translation needed: Stay on marked paths while visiting heritage sites]
78,Respect wildlife and keep 13 meters away in beach resorts,[Hindi translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Kannada translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Tamil translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Bengali translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Assamese translation needed: Respect wildlife and keep 13 meters away in beach resorts]
79,Dispose of trash properly to protect mountain paths,[Hindi translation needed: Dispose of trash properly to protect mountain paths],[Kannada translation needed: Dispose of trash properly to protect mountain paths],[Tamil translation needed: Dispose of trash properly to protect mountain paths],[Bengali translation needed: Dispose of trash properly to protect mountain paths],[Assamese translation needed: Dispose of trash properly to protect mountain paths]
80,Carry at least 2 liters of water when hiking in heritage sites,[Hindi translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Kannada translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Tamil translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Bengali translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Assamese translation needed: Carry at least 2 liters of water when hiking in heritage sites]
81,Inform a friend before exploring busy markets alone,[Hindi translation needed: Inform a friend before exploring busy markets alone],[Kannada translation needed: Inform a friend before exploring busy markets alone],[Tamil translation needed: Inform a friend before exploring busy markets alone],[Bengali translation needed: Inform a friend before exploring busy markets alone],[Assamese translation needed: Inform a friend before exploring busy markets alone]
82,Avoid flashing valuables in heritage sites to prevent theft,[Hindi translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Kannada translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Tamil translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Bengali translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Assamese translation needed: Avoid flashing valuables in heritage sites to prevent theft]
83,Wear protective gear when riding bikes on crowded trains,[Hindi translation needed: Wear protective gear when riding bikes on crowded trains],[Kannada translation needed: Wear protective gear when riding bikes on crowded trains],[Tamil translation needed: Wear protective gear when riding bikes on crowded trains],[Bengali translation needed: Wear protective gear when riding bikes on crowded trains],[Assamese translation needed: Wear protective gear when riding bikes on crowded trains]
84,Keep emergency contacts saved before entering crowded trains,[Hindi translation needed: Keep emergency contacts saved before entering crowded trains],[Kannada translation needed: Keep emergency contacts saved before entering crowded trains],[Tamil translation needed: Keep emergency contacts saved before entering crowded trains],[Bengali translation needed: Keep emergency contacts saved before entering crowded trains],[Assamese translation needed: Keep emergency contacts saved before entering crowded trains]
